Date Time,Open,High,Low,Close,Volume
2020-04-19 12:54:00,7152.91,7154.81,7152.0,7153.61,9.780931
2020-04-19 12:55:00,7153.62,7157.0,7152.63,7156.3,9.847609
2020-04-19 12:56:00,7156.37,7158.61,7155.86,7156.82,7.4718
2020-04-19 12:57:00,7156.11,7157.62,7155.44,7156.12,3.290618
2020-04-19 12:58:00,7156.11,7162.0,7155.79,7161.23,23.251075
2020-04-19 12:59:00,7160.91,7163.65,7157.05,7163.19,17.535322
2020-04-19 13:00:00,7162.66,7163.97,7157.32,7158.13,23.194482
2020-04-19 13:01:00,7158.68,7160.0,7157.39,7157.9,10.12932
2020-04-19 13:02:00,7157.9,7158.24,7150.71,7153.06,11.532825
2020-04-19 13:03:00,7153.04,7153.72,7151.25,7151.76,6.076464
2020-04-19 13:04:00,7151.75,7156.68,7151.73,7154.93,10.675836
2020-04-19 13:05:00,7154.94,7159.96,7154.94,7158.81,16.137933
2020-04-19 13:06:00,7158.12,7168.58,7157.58,7165.31,13.221408
2020-04-19 13:07:00,7165.1,7170.0,7164.97,7167.53,17.109517
2020-04-19 13:08:00,7167.53,7169.18,7165.0,7165.34,10.454308
2020-04-19 13:09:00,7165.37,7167.04,7161.38,7162.52,8.202264
2020-04-19 13:10:00,7162.36,7167.56,7162.36,7165.84,6.040571
2020-04-19 13:11:00,7166.68,7166.69,7157.08,7158.31,16.405185
2020-04-19 13:12:00,7158.23,7159.63,7154.0,7157.29,22.096591
2020-04-19 13:13:00,7157.4,7163.58,7156.8,7162.8,9.501044
2020-04-19 13:14:00,7162.8,7162.8,7160.5,7161.9,4.105002
2020-04-19 13:15:00,7161.9,7165.0,7161.9,7164.56,7.939306
2020-04-19 13:16:00,7164.65,7166.69,7164.12,7165.54,8.007722
2020-04-19 13:17:00,7165.61,7167.91,7165.15,7166.69,7.063103
2020-04-19 13:18:00,7167.36,7169.0,7164.42,7164.91,7.338251
2020-04-19 13:19:00,7164.26,7164.9,7161.29,7162.45,19.314159
2020-04-19 13:20:00,7162.55,7162.83,7159.32,7159.32,5.338069
2020-04-19 13:21:00,7160.09,7160.09,7156.54,7157.27,10.406998
2020-04-19 13:22:00,7157.17,7157.5,7152.33,7153.78,14.954983
2020-04-19 13:23:00,7153.78,7155.81,7152.51,7155.81,11.815927
2020-04-19 13:24:00,7155.81,7161.62,7154.3,7158.01,13.231159
2020-04-19 13:25:00,7158.0,7158.62,7152.0,7155.3,17.640075
2020-04-19 13:26:00,7155.38,7156.39,7150.02,7153.8,6.507174
2020-04-19 13:27:00,7153.8,7154.35,7145.22,7149.78,55.287716
2020-04-19 13:28:00,7149.79,7151.71,7147.65,7150.78,9.914163
2020-04-19 13:29:00,7150.57,7155.24,7149.37,7152.91,30.94869
2020-04-19 13:30:00,7152.81,7154.16,7149.0,7149.0,10.538848
2020-04-19 13:31:00,7149.0,7150.0,7147.16,7149.12,9.653888
2020-04-19 13:32:00,7148.85,7154.51,7148.45,7151.43,18.747846
2020-04-19 13:33:00,7151.43,7154.18,7150.47,7151.93,13.491723
2020-04-19 13:34:00,7152.3,7154.98,7151.41,7152.3,8.589147
2020-04-19 13:35:00,7152.31,7157.96,7152.0,7152.0,17.057942
2020-04-19 13:36:00,7151.71,7154.46,7151.41,7153.39,7.567952
2020-04-19 13:37:00,7153.34,7153.64,7148.27,7148.27,9.031105
2020-04-19 13:38:00,7148.27,7150.64,7145.68,7148.57,19.33103
2020-04-19 13:39:00,7148.27,7148.64,7145.83,7146.37,8.018832
2020-04-19 13:40:00,7146.37,7149.11,7145.67,7148.77,37.036712
2020-04-19 13:41:00,7148.62,7150.0,7146.59,7148.2,16.983394
2020-04-19 13:42:00,7148.19,7154.46,7147.0,7154.01,43.265671
2020-04-19 13:43:00,7154.0,7154.92,7152.28,7154.05,8.783671
2020-04-19 13:44:00,7154.04,7154.14,7149.67,7151.0,13.757765
2020-04-19 13:45:00,7150.72,7151.0,7148.62,7150.03,5.203861
2020-04-19 13:46:00,7150.03,7150.72,7149.54,7150.72,7.033711
2020-04-19 13:47:00,7150.72,7158.02,7150.53,7156.93,53.509429
2020-04-19 13:48:00,7156.96,7158.0,7153.18,7155.0,17.252411
2020-04-19 13:49:00,7155.0,7159.07,7153.57,7155.91,29.026788
2020-04-19 13:50:00,7155.9,7156.73,7151.6,7153.2,9.001541
2020-04-19 13:51:00,7153.2,7158.95,7153.08,7157.38,9.099477
2020-04-19 13:52:00,7157.32,7159.14,7156.69,7158.1,7.86936
2020-04-19 13:53:00,7158.1,7159.98,7155.0,7157.5,10.452469
2020-04-19 13:54:00,7157.66,7159.84,7156.43,7158.27,9.04686
2020-04-19 13:55:00,7158.67,7160.0,7157.82,7160.0,10.915565
2020-04-19 13:56:00,7159.99,7164.61,7158.97,7160.11,49.843447
2020-04-19 13:57:00,7160.12,7160.12,7152.21,7153.94,18.100021
2020-04-19 13:58:00,7154.44,7157.93,7153.17,7154.65,8.258146
2020-04-19 13:59:00,7154.5,7158.33,7153.08,7155.33,9.146793
2020-04-19 14:00:00,7155.83,7157.02,7154.1,7155.17,10.204026
2020-04-19 14:01:00,7155.02,7155.22,7153.11,7154.77,9.466725
2020-04-19 14:02:00,7154.19,7155.18,7153.05,7154.0,5.339508
2020-04-19 14:03:00,7154.0,7156.1,7154.0,7154.3,6.325644
